trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.355, 'e': 0.9900498337491681}",20,0,-99.90812766164105,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.355, 'e': 0.9801986733067554}",20,0,-74.50766960834339,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
3,False,"{'a': 0.355, 'e': 0.9704455335485082}",25,0,-168.43116420071735,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.355, 'e': 0.9607894391523232}",20,0,-130.79048299398832,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.355, 'e': 0.9512294245007139}",25,0,-137.0880168198868,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.355, 'e': 0.9417645335842487}",20,0,-25.889110077874967,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.355, 'e': 0.9323938199059482}",20,0,-63.449534160454306,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.355, 'e': 0.9231163463866358}",20,13,-9.346411157886898,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,False,"{'a': 0.355, 'e': 0.9139311852712282}",30,0,-140.58678765870908,"{0: 20, 1: 6, 2: 1, 3: 0, 4: 3}",0
10,False,"{'a': 0.355, 'e': 0.9048374180359595}",20,0,-133.18977580752275,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.355, 'e': 0.8958341352965282}",20,6,-68.55977287491729,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
12,False,"{'a': 0.355, 'e': 0.8869204367171575}",20,0,-79.31389555172184,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.355, 'e': 0.8780954309205614}",20,0,-70.74805392179465,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.355, 'e': 0.8693582353988057}",25,0,-162.0754548459532,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
15,False,"{'a': 0.355, 'e': 0.8607079764250578}",25,0,-93.19146872636534,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.355, 'e': 0.8521437889662113}",20,0,-60.124508585048,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.355, 'e': 0.8436648165963837}",25,10,-36.91221456366904,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.355, 'e': 0.835270211411272}",30,0,-99.22819161103027,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.355, 'e': 0.8269591339433623}",25,0,-71.55353549150897,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.355, 'e': 0.8187307530779818}",30,9,-86.16556308389156,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 2}",1
21,False,"{'a': 0.355, 'e': 0.8105842459701872}",25,8,-55.82316720583336,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 0}",1
22,False,"{'a': 0.355, 'e': 0.8025187979624785}",25,0,-150.2764726754825,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
23,False,"{'a': 0.355, 'e': 0.794533602503334}",20,7,-23.372156113725083,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
24,False,"{'a': 0.355, 'e': 0.7866278610665534}",25,0,-119.1778067224139,"{0: 12, 1: 5, 2: 5, 3: 3, 4: 0}",0
25,False,"{'a': 0.355, 'e': 0.7788007830714049}",20,0,-65.02996576046579,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
26,False,"{'a': 0.355, 'e': 0.7710515858035663}",20,0,-96.22788561728503,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
27,False,"{'a': 0.355, 'e': 0.7633794943368533}",25,0,-72.32451160536948,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
28,False,"{'a': 0.355, 'e': 0.7557837414557255}",25,0,-77.20234751397071,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
29,False,"{'a': 0.355, 'e': 0.7482635675785653}",25,12,1.4624612835572863,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.355, 'e': 0.7408182206817179}",20,2,-67.1350346757307,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
31,False,"{'a': 0.355, 'e': 0.7334469562242892}",20,0,-35.20729652412524,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
32,False,"{'a': 0.355, 'e': 0.7261490370736908}",20,9,-90.56516811007744,"{0: 4, 1: 3, 2: 2, 3: 1, 4: 1}",1
33,False,"{'a': 0.355, 'e': 0.7189237334319262}",25,0,-55.98438375832139,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
