trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-118.52841051244434,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-107.21700094127715,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-118.93727622485827,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-105.80515703308862,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,18,-28.268539033255625,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-72.54037677453407,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-33.19243570435458,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-98.78671057888428,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-133.82498679674447,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-134.7175591417075,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-88.36238250006305,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-182.52743307445124,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-60.71836899083327,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-151.3033883481108,"{0: 25, 1: 2, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-139.51485628201888,"{0: 19, 1: 1, 2: 6, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,12,-30.55470424657431,"{0: 6, 1: 0, 2: 0, 3: 2, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-36.34106292770407,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-192.75528389806664,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-156.43626307922497,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-143.99967182662445,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-22.50177750190718,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-202.98979315998577,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,-72.69188931981893,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-153.56398913980107,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-88.82620077240362,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-108.19743455556896,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-95.29860595120266,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-135.8577116452443,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-20.158537402376172,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,15,-68.53604222901517,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 1}",1
