trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.355, 'e': 0.9900498337491681}",30,0,-132.8580449130895,"{0: 15, 1: 9, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.355, 'e': 0.9801986733067554}",20,0,-110.47145106057836,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
3,False,"{'a': 0.355, 'e': 0.9704455335485082}",30,0,-211.16252357400543,"{0: 13, 1: 7, 2: 5, 3: 3, 4: 2}",0
4,False,"{'a': 0.355, 'e': 0.9607894391523232}",20,0,-123.10946397675517,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.355, 'e': 0.9512294245007139}",20,0,-161.1083694198613,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.355, 'e': 0.9417645335842487}",30,15,-30.461652281695606,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
7,False,"{'a': 0.355, 'e': 0.9323938199059482}",20,12,-6.022835689853803,"{0: 5, 1: 3, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.355, 'e': 0.9231163463866358}",30,0,-174.38167892769306,"{0: 17, 1: 5, 2: 3, 3: 3, 4: 2}",0
9,False,"{'a': 0.355, 'e': 0.9139311852712282}",25,8,-84.59656211506723,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 0}",1
10,False,"{'a': 0.355, 'e': 0.9048374180359595}",20,0,-93.33626916559881,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
11,False,"{'a': 0.355, 'e': 0.8958341352965282}",20,0,-68.20674860463717,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.355, 'e': 0.8869204367171575}",30,3,-127.76828993194844,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 2}",1
13,False,"{'a': 0.355, 'e': 0.8780954309205614}",20,0,-31.322685947027065,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.355, 'e': 0.8693582353988057}",20,6,-116.65743477674627,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 2}",1
15,False,"{'a': 0.355, 'e': 0.8607079764250578}",20,0,-67.52023429804036,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.355, 'e': 0.8521437889662113}",20,0,-88.01801411483825,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.355, 'e': 0.8436648165963837}",20,0,-160.73543707568055,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
18,False,"{'a': 0.355, 'e': 0.835270211411272}",20,0,-110.78805522463014,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.355, 'e': 0.8269591339433623}",30,0,-119.8760447518335,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
20,False,"{'a': 0.355, 'e': 0.8187307530779818}",20,0,-35.00794447570982,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.355, 'e': 0.8105842459701872}",20,0,-52.5757983883304,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
22,False,"{'a': 0.355, 'e': 0.8025187979624785}",20,0,-5.301601783342457,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.355, 'e': 0.794533602503334}",25,7,-101.03645158110403,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 2}",1
24,False,"{'a': 0.355, 'e': 0.7866278610665534}",25,0,-140.1720018613169,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
25,False,"{'a': 0.355, 'e': 0.7788007830714049}",25,0,-91.98179931948398,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
26,False,"{'a': 0.355, 'e': 0.7710515858035663}",25,0,-50.76906586768989,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.355, 'e': 0.7633794943368533}",20,14,3.7336382179616443,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.355, 'e': 0.7557837414557255}",25,0,-96.16713508631781,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
